Site Name,Station,Frame No.,Image Date,ID Name,ID Code,Point,X,Y,Intensity,Red,Green,Blue,File Name,Total Points,ID Date,Site ID,Site Code,Time Code,Institution,User Name,Habitat,WQS,Length,Depth
NA,NA,NA,NA,Porites compressa,NA,1,1003,922,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,2,818,860,NA,,0,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Substrate,NA,3,1579,1145,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,4,646,1129,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,5,1375,1141,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,6,1313,865,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,7,1083,328,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,8,1245,383,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,9,1146,1084,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Montipora capitata,NA,10,1435,228,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,11,1083,663,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,12,961,444,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,13,817,218,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,14,919,143,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,15,796,914,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,16,742,978,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,17,919,352,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,18,1326,102,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Montipora capitata,NA,19,1463,86,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,20,560,247,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,21,1206,241,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Silt,NA,22,442,886,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,23,751,431,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,24,212,507,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,25,1455,981,NA,,,,08OaMok02m0101,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,1,512,1077,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Other,NA,2,988,645,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,3,364,900,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Silt,NA,4,944,337,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Montipora capitata,NA,5,419,119,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Montipora capitata,NA,6,699,375,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Other,NA,7,1124,505,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Silt,NA,8,1265,656,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Porites compressa,NA,9,589,686,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Substrate,NA,10,230,380,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Other,NA,11,1312,215,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Silt,NA,12,1084,1069,NA,,,,08OaMok02m0102,25,#2008-05-07#,NA,NA,NA,NA,NA,NA,NA,NA,NA
