"Site Name","Station","Frame No.","Image Date","ID Name","ID Code","Point","X","Y","Intensity","Red","Green","Blue","File Name","Total Points","ID Date","Site ID","Site Code","Time Code","Institution","User Name","Habitat","WQS","Length","Depth"
"NA","NA","NA","NA","Pocillopora meandrina","NA",1,1773,1000,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",2,2308,194,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",3,1700,1782,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",4,2470,584,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",5,314,1145,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",6,198,1660,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",7,2557,1050,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",8,1890,1145,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",9,2334,1411,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",10,1646,1391,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",11,632,1567,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",12,991,1493,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",13,1241,313,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Macroalgae","NA",14,1068,1392,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",15,1992,246,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",16,608,709,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",17,2000,1078,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",18,2200,1895,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",19,1862,1106,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",20,1298,420,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",21,1937,1081,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",22,1458,404,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Pocillopora meandrina","NA",23,1268,879,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",24,2058,5,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",25,2259,489,"NA","","","","OaAla03m01002",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",1,230,1747,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",2,296,1803,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",3,2133,1911,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",4,414,272,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",5,1156,1363,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",6,1431,1107,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",7,1327,1240,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",8,1521,375,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",9,1897,1906,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",10,1941,647,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",11,1699,828,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",12,190,1430,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",13,1589,519,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",14,1732,1593,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",15,2405,1613,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",16,1630,363,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",17,1009,254,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",18,112,707,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",19,2322,1325,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",20,846,1690,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",21,1292,1436,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",22,2185,899,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",23,1326,1200,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Turf algae","NA",24,1844,1197,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",25,95,698,"NA","","","","OaAla03m01003",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Coralline algae","NA",1,2174,1791,"NA","","","","OaAla03m01004",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Pocillopora meandrina","NA",2,689,839,"NA","","","","OaAla03m01004",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Pocillopora meandrina","NA",3,1511,1146,"NA","","","","OaAla03m01004",25,#2010-03-12#,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
