value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,25,19,54,75,5.1,6.8,99.00,99.00,99.00,999,9999.0,25.5,999.0,999.0,99.0,99.00
2008,06,25,20,00,66,5.1,6.9,99.00,99.00,99.00,999,9999.0,25.4,999.0,999.0,99.0,99.00
2008,06,25,20,06,61,5.3,8.0,99.00,99.00,99.00,999,9999.0,25.6,999.0,999.0,99.0,99.00
2008,06,25,20,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.6,999.0,99.0,99.00
2008,06,25,20,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,20,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,20,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,20,36,63,6.7,8.8,99.00,99.00,99.00,999,1018.9,24.9,26.7,999.0,99.0,99.00
2008,06,25,20,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.9,999.0,26.7,999.0,99.0,99.00
2008,06,25,20,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,20,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,26.7,999.0,99.0,99.00
2008,06,25,21,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.7,999.0,26.8,999.0,99.0,99.00
2008,06,25,21,36,80,7.3,9.0,99.00,99.00,99.00,999,1018.6,25.4,26.8,999.0,99.0,99.00
2008,06,25,21,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,26.8,999.0,99.0,99.00
2008,06,25,21,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,26.8,999.0,99.0,99.00
2008,06,25,21,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,26.8,999.0,99.0,99.00
2008,06,25,22,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,26.8,999.0,99.0,99.00
2008,06,25,22,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,26.8,999.0,99.0,99.00
2008,06,25,22,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,26.8,999.0,99.0,99.00
2008,06,25,22,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.4,999.0,26.8,999.0,99.0,99.00
2008,06,25,22,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.4,999.0,26.8,999.0,99.0,99.00
